fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
327992,147,Coritiba,0,1,1,0,0.0,1.0,5,2.0,3.0,35%,3.0,,3.0,189.0,137.0,72%
327992,119,Internacional,4,3,8,1,5.0,3.0,13,6.0,2.0,65%,4.0,,0.0,329.0,270.0,82%
327991,123,Sport Recife,3,4,9,2,5.0,4.0,15,2.0,3.0,39%,3.0,,3.0,322.0,250.0,78%
327991,129,Ceara,5,4,11,2,7.0,4.0,18,4.0,0.0,61%,3.0,,0.0,490.0,407.0,83%
327993,154,Fortaleza EC,3,4,10,3,4.0,6.0,12,3.0,1.0,43%,3.0,1.0,3.0,343.0,291.0,85%
327993,134,Atletico Paranaense,5,4,13,4,9.0,4.0,7,4.0,1.0,57%,2.0,0.0,3.0,471.0,422.0,90%
327985,127,Flamengo,2,10,17,5,11.0,6.0,12,9.0,2.0,62%,3.0,,4.0,527.0,425.0,81%
327985,1062,Atletico-MG,4,2,10,4,4.0,6.0,24,2.0,3.0,38%,2.0,,2.0,317.0,226.0,71%
327988,128,Santos,4,5,10,1,6.0,4.0,10,4.0,4.0,53%,0.0,,5.0,444.0,362.0,82%
327988,794,Bragantino,6,8,18,4,7.0,11.0,19,2.0,2.0,47%,1.0,,3.0,375.0,303.0,81%
327990,130,Gremio,4,6,15,5,8.0,7.0,24,6.0,2.0,52%,2.0,,4.0,496.0,399.0,80%
327990,124,Fluminense,4,3,10,3,2.0,8.0,16,3.0,1.0,48%,3.0,,3.0,447.0,362.0,81%
328002,134,Atletico Paranaense,0,0,0,0,,,0,,,,,,,,,
328002,151,Goias,0,0,0,0,,,0,,,,,,,,,
327998,794,Bragantino,8,12,23,3,7.0,16.0,13,11.0,1.0,55%,3.0,,2.0,553.0,488.0,88%
327998,120,Botafogo,3,6,9,0,6.0,3.0,8,3.0,1.0,45%,1.0,,7.0,451.0,374.0,83%
327999,1062,Atletico-MG,13,9,25,3,17.0,8.0,19,8.0,3.0,55%,0.0,,2.0,516.0,425.0,82%
327999,131,Corinthians,5,2,7,0,5.0,2.0,11,4.0,1.0,45%,1.0,,10.0,423.0,321.0,76%
328001,118,Bahia,5,7,12,0,6.0,6.0,16,3.0,1.0,45%,0.0,,3.0,418.0,338.0,81%
328001,147,Coritiba,3,8,14,3,8.0,6.0,18,8.0,5.0,55%,5.0,,4.0,485.0,413.0,85%
328004,144,Atletico Goianiense,7,5,13,1,7.0,6.0,15,11.0,2.0,35%,1.0,0.0,3.0,282.0,207.0,73%
328004,127,Flamengo,3,3,8,2,5.0,3.0,19,5.0,1.0,65%,1.0,1.0,4.0,550.0,488.0,89%
327995,124,Fluminense,1,6,10,3,3.0,7.0,20,3.0,3.0,51%,3.0,,,430.0,357.0,83%
