fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
1005651,121,Palmeiras,5,7,17,5,10,7,23,4,3.0,52%,2.0,0.0,3,455,382,84%,2.69
1005651,1193,Cuiaba,4,6,12,2,6,6,12,4,2.0,48%,5.0,1.0,3,426,337,79%,0.67
1005658,125,America Mineiro,2,9,17,6,11,6,25,11,2.0,46%,3.0,,5,336,269,80%,1.07
1005658,124,Fluminense,8,3,15,4,9,6,9,1,3.0,54%,2.0,,2,442,366,83%,3.05
1005650,120,Botafogo,3,5,12,4,6,6,20,3,2.0,32%,3.0,,7,293,229,78%,0.84
1005650,126,Sao Paulo,8,6,16,2,11,5,13,7,1.0,68%,2.0,,1,646,574,89%,1.86
1005656,134,Atletico Paranaense,3,4,11,4,8,3,19,3,1.0,44%,2.0,,2,369,289,78%,0.79
1005656,151,Goias,2,8,16,6,7,9,18,8,1.0,56%,3.0,,1,480,397,83%,0.88
1005657,154,Fortaleza EC,6,7,24,11,10,14,18,5,0.0,47%,2.0,,5,398,319,80%,1.50
1005657,119,Internacional,6,5,11,0,6,5,13,1,2.0,53%,1.0,,5,474,379,80%,0.92
1005653,794,RB Bragantino,7,4,13,2,6,7,20,4,2.0,56%,3.0,,2,436,339,78%,2.11
1005653,118,Bahia,3,5,9,1,5,4,13,7,3.0,44%,1.0,,5,343,248,72%,0.65
1005654,1062,Atletico-MG,10,7,26,9,14,12,15,14,2.0,75%,6.0,,1,600,529,88%,1.39
1005654,133,Vasco DA Gama,3,1,7,3,6,1,10,3,2.0,25%,5.0,,9,204,136,67%,1.50
1005649,127,Flamengo,7,5,15,3,5,10,20,6,1.0,59%,3.0,,3,542,480,89%,1.37
1005649,147,Coritiba,3,2,10,5,3,7,17,3,2.0,41%,3.0,,4,379,322,85%,0.36
1005652,131,Corinthians,7,4,12,1,6,6,14,7,4.0,42%,4.0,,1,406,316,78%,1.54
1005652,135,Cruzeiro,2,3,8,3,4,4,12,4,3.0,58%,2.0,,5,572,489,85%,0.49
1005655,130,Gremio,6,6,17,5,8,9,12,4,1.0,45%,3.0,0.0,4,393,299,76%,1.59
1005655,128,Santos,4,8,16,4,12,4,16,11,1.0,55%,4.0,1.0,5,465,377,81%,1.20
1005659,124,Fluminense,4,6,14,4,6,8,13,10,3.0,62%,3.0,,1,559,491,88%,0.75
1005659,134,Atletico Paranaense,1,4,10,5,4,6,20,6,1.0,38%,3.0,,2,342,280,82%,0.68
1005661,126,Sao Paulo,6,8,17,3,10,7,18,3,1.0,53%,5.0,,8,437,366,84%,2.35
1005661,125,America Mineiro,8,8,22,6,12,10,12,7,3.0,47%,3.0,,3,384,311,81%,1.21
1005668,1193,Cuiaba,3,8,14,3,10,4,17,4,3.0,34%,3.0,,1,246,169,69%,1.22
1005668,794,RB Bragantino,2,4,7,1,4,3,21,5,2.0,66%,3.0,,2,511,411,80%,0.89
1005664,135,Cruzeiro,6,9,21,6,12,9,21,11,1.0,49%,6.0,1.0,7,488,393,81%,1.50
1005664,130,Gremio,7,2,11,2,4,7,8,5,3.0,51%,2.0,0.0,5,511,405,79%,0.81
1005665,119,Internacional,4,5,16,7,8,8,14,6,2.0,36%,3.0,,3,310,251,81%,1.02
1005665,127,Flamengo,4,8,16,4,11,5,13,2,3.0,64%,1.0,,2,586,515,88%,1.43
1005662,128,Santos,2,5,12,5,6,6,11,9,0.0,37%,3.0,,5,318,247,78%,0.88
1005662,1062,Atletico-MG,5,6,15,4,4,11,21,6,1.0,63%,3.0,,2,553,466,84%,1.26
1005660,133,Vasco DA Gama,3,4,11,4,7,4,19,2,,36%,4.0,,5,257,175,68%,1.71
1005660,121,Palmeiras,7,5,13,1,5,8,15,5,,64%,3.0,,1,470,378,80%,0.76
1005666,147,Coritiba,7,7,18,4,4,14,9,3,2.0,58%,1.0,,6,497,419,84%,0.72
1005666,154,Fortaleza EC,9,4,16,3,14,2,10,7,2.0,42%,2.0,,7,343,270,79%,2.60
1005663,151,Goias,7,6,18,5,9,9,21,5,4.0,51%,5.0,,1,392,317,81%,0.97
1005663,131,Corinthians,2,4,10,4,4,6,23,8,1.0,49%,2.0,,4,396,319,81%,0.34
1005667,118,Bahia,5,3,13,5,9,4,18,6,0.0,60%,1.0,,1,540,452,84%,0.91
1005667,120,Botafogo,3,2,5,0,2,3,9,3,5.0,40%,2.0,,4,368,289,79%,0.20
1005676,147,Coritiba,5,8,16,3,12,4,14,7,2.0,33%,4.0,,5,288,211,73%,1.88
1005676,126,Sao Paulo,6,9,22,7,8,14,12,6,2.0,67%,1.0,,4,609,535,88%,1.04
1005677,154,Fortaleza EC,18,2,20,0,15,5,8,8,2.0,30%,0.0,,1,253,195,77%,5.57
1005677,124,Fluminense,3,3,12,6,8,4,14,5,1.0,70%,3.0,,13,598,540,90%,1.37
1005671,121,Palmeiras,6,7,21,8,9,12,20,12,0.0,54%,3.0,,2,510,432,85%,1.43
1005671,131,Corinthians,2,2,9,5,3,6,15,3,1.0,46%,3.0,,4,438,364,83%,0.47
1005672,128,Santos,6,4,12,2,9,3,19,2,0.0,44%,3.0,1.0,6,294,216,73%,1.82
1005672,125,America Mineiro,8,7,19,4,7,12,16,6,1.0,56%,4.0,0.0,3,369,284,77%,1.71
1005673,794,RB Bragantino,5,5,12,2,8,4,18,5,1.0,45%,5.0,2.0,2,369,287,78%,1.06
1005673,135,Cruzeiro,5,7,18,6,9,9,8,9,4.0,55%,3.0,0.0,5,467,378,81%,2.03
1005674,1062,Atletico-MG,6,9,16,1,11,5,18,1,2.0,59%,3.0,0.0,2,574,497,87%,1.99
1005674,134,Atletico Paranaense,3,1,8,4,3,5,11,5,3.0,41%,3.0,1.0,4,398,321,81%,0.59
1005669,127,Flamengo,13,8,24,3,19,5,14,7,3.0,74%,4.0,0.0,3,642,565,88%,3.34
1005669,120,Botafogo,6,3,12,3,9,3,12,2,1.0,26%,4.0,1.0,11,225,157,70%,2.45
1005675,119,Internacional,8,6,18,4,10,8,16,8,1.0,57%,4.0,0.0,2,464,401,86%,0.95
1005675,151,Goias,1,7,14,6,10,4,10,11,4.0,43%,2.0,1.0,7,331,272,82%,0.72
1005678,1193,Cuiaba,4,4,15,7,7,8,15,7,2.0,51%,5.0,1.0,4,411,342,83%,1.36
1005678,130,Gremio,6,4,12,2,7,5,11,5,2.0,49%,5.0,0.0,3,431,349,81%,1.64
1005670,133,Vasco DA Gama,6,6,15,3,7,8,19,7,5.0,55%,1.0,,5,433,347,80%,0.91
1005670,118,Bahia,6,4,12,2,8,4,19,6,0.0,45%,4.0,,6,357,269,75%,1.27
1005684,135,Cruzeiro,3,6,10,1,6,4,17,4,0.0,55%,6.0,,3,497,400,80%,1.37
1005684,128,Santos,4,4,9,1,6,3,15,4,5.0,45%,3.0,,1,391,301,77%,1.11
1005679,124,Fluminense,9,10,23,4,9,14,12,9,1.0,79%,3.0,,0,732,653,89%,1.83
1005679,133,Vasco DA Gama,1,5,8,2,3,5,19,1,1.0,21%,3.0,,8,190,114,60%,0.71
1005688,125,America Mineiro,4,8,15,3,11,4,19,4,5.0,46%,3.0,1.0,4,400,315,79%,1.38
1005688,1193,Cuiaba,5,3,9,1,4,5,12,6,2.0,54%,3.0,0.0,3,476,382,80%,0.48
