fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,substitute,offsides,shots_total,shots_on,goals_total,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved
1180355,119,Internacional,50077,Sergio Rochet,90.0,1,G,7,False,False,,,,,1,,3.0,18.0,,12,,,,1.0,1.0,,,,1.0,,0,0,,,0,0,0.0
1180355,119,Internacional,6080,Fabricio Bustos,90.0,16,D,7.2,False,False,,1.0,,,0,,,61.0,1.0,51,3.0,,1.0,9.0,7.0,1.0,1.0,,,2.0,1,0,,,0,0,
1180355,119,Internacional,9909,Vitão,90.0,44,D,7,False,False,,1.0,,,0,,,89.0,,80,2.0,1.0,3.0,10.0,4.0,,,2.0,1.0,3.0,0,0,,,0,0,
1180355,119,Internacional,452,Fernando,90.0,5,D,7.9,False,False,,1.0,1.0,1.0,0,,,77.0,1.0,70,2.0,,1.0,6.0,5.0,,,,,2.0,1,0,,,0,0,
1180355,119,Internacional,10163,Renê,90.0,6,D,7.2,True,False,,1.0,1.0,,0,,,47.0,1.0,40,2.0,,1.0,9.0,7.0,,,,2.0,,0,0,,,0,0,
1180355,119,Internacional,106485,Maurício,83.0,27,M,7.2,False,False,,2.0,1.0,,0,,,27.0,4.0,22,2.0,,1.0,8.0,3.0,,,1.0,1.0,1.0,1,0,,,0,0,
1180355,119,Internacional,22231,Thiago Maia,45.0,29,M,7,False,False,,1.0,1.0,,0,,,36.0,,34,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,,,0,0,,,0,0,
1180355,119,Internacional,143368,Bruno Gomes,45.0,15,M,7,False,False,,,,,0,,,39.0,1.0,32,4.0,,1.0,14.0,8.0,,,1.0,2.0,3.0,0,0,,,0,0,
1180355,119,Internacional,2083,Wanderson,76.0,11,M,7,False,False,,,,,0,,,17.0,1.0,11,1.0,,,8.0,5.0,3.0,2.0,,2.0,2.0,0,0,,,0,0,
1180355,119,Internacional,6011,Rafael Borré,90.0,19,F,7,False,False,2.0,6.0,4.0,,0,,,16.0,1.0,13,2.0,,,16.0,8.0,1.0,,,,5.0,0,0,,,0,0,
