fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
720746,532,Valencia,2,2,4,0,3,1,24,1,2.0,26%,6.0,1.0,4.0,177,114,64%
720746,546,Getafe,4,12,22,6,11,11,15,9,2.0,74%,2.0,0.0,1.0,483,419,87%
720743,724,Cadiz,2,3,7,2,4,3,10,2,1.0,43%,1.0,,2.0,315,228,72%
720743,539,Levante,3,8,12,1,6,6,16,4,1.0,57%,5.0,,1.0,421,353,84%
720742,798,Mallorca,2,4,6,0,4,2,12,3,3.0,34%,1.0,,0.0,288,224,78%
720742,543,Real Betis,0,7,9,2,7,2,18,3,0.0,66%,3.0,,1.0,568,503,89%
720739,542,Alaves,4,3,11,4,7,4,14,0,1.0,41%,1.0,,4.0,394,330,84%
720739,541,Real Madrid,7,8,19,4,10,9,10,4,2.0,59%,2.0,,3.0,584,518,89%
720744,727,Osasuna,1,8,14,5,8,6,18,4,1.0,53%,3.0,,3.0,384,288,75%
720744,540,Espanyol,3,5,10,2,5,5,12,6,3.0,47%,3.0,,1.0,352,250,71%
720741,538,Celta Vigo,2,3,10,5,7,3,11,2,1.0,53%,5.0,1.0,2.0,479,400,84%
720741,530,Atletico Madrid,5,3,13,5,10,3,9,5,1.0,47%,5.0,1.0,1.0,429,344,80%
720740,529,Barcelona,8,4,13,1,11,2,11,5,1.0,62%,2.0,,1.0,540,477,88%
720740,548,Real Sociedad,3,5,11,3,8,3,18,3,2.0,38%,4.0,,4.0,330,258,78%
720745,536,Sevilla,8,7,21,6,12,9,14,4,1.0,75%,1.0,0.0,3.0,749,697,93%
720745,728,Rayo Vallecano,3,0,4,1,2,2,7,0,1.0,25%,0.0,1.0,5.0,242,168,69%
720747,533,Villarreal,4,8,14,2,8,6,19,6,1.0,61%,4.0,1.0,1.0,477,395,83%
720747,715,Granada CF,1,4,6,1,3,3,21,2,0.0,39%,1.0,0.0,3.0,307,231,75%
720748,797,Elche,2,6,8,0,4,4,13,6,5.0,50%,2.0,,3.0,373,299,80%
720748,531,Athletic Club,3,5,9,1,6,3,19,8,1.0,50%,2.0,,2.0,373,294,79%
720752,543,Real Betis,7,7,16,2,8,8,12,4,,74%,4.0,,2.0,648,581,90%
720752,724,Cadiz,3,3,8,2,6,2,10,5,,26%,0.0,,6.0,208,128,62%
720749,542,Alaves,4,5,9,0,8,1,14,1,0.0,47%,3.0,1.0,1.0,319,236,74%
720749,798,Mallorca,2,8,12,2,4,8,15,8,2.0,53%,3.0,0.0,4.0,353,278,79%
720755,540,Espanyol,3,8,14,3,8,6,10,9,3.0,40%,3.0,,2.0,282,223,79%
720755,533,Villarreal,2,5,12,5,9,3,10,7,3.0,60%,4.0,,3.0,432,380,88%
720754,715,Granada CF,2,6,9,1,4,5,14,2,3.0,46%,4.0,,5.0,276,162,59%
720754,532,Valencia,7,10,18,1,10,8,12,6,3.0,54%,2.0,,1.0,310,214,69%
