fixture_id,team,formation,coach,player_id,player_name,number,position,grid,status
877947,Osasuna,4-4-2,Arrasate,46646,Sergio Herrera,1,G,1:1,starter
877947,Osasuna,4-4-2,Arrasate,47391,Rubén Peña,15,D,2:4,starter
877947,Osasuna,4-4-2,Arrasate,46652,Unai García,4,D,2:3,starter
877947,Osasuna,4-4-2,Arrasate,46653,David García,5,D,2:2,starter
877947,Osasuna,4-4-2,Arrasate,46967,Juan Cruz,3,D,2:1,starter
877947,Osasuna,4-4-2,Arrasate,46667,Kike Barja,11,M,3:4,starter
877947,Osasuna,4-4-2,Arrasate,46662,Moncayola,7,M,3:3,starter
877947,Osasuna,4-4-2,Arrasate,1825,Lucas Torró,6,M,3:2,starter
877947,Osasuna,4-4-2,Arrasate,47574,Moi Gómez,16,M,3:1,starter
877947,Osasuna,4-4-2,Arrasate,47579,E. Ávila,9,F,4:2,starter
877947,Osasuna,4-4-2,Arrasate,67939,Aimar Oroz,29,F,4:1,starter
877947,Osasuna,4-4-2,Arrasate,46657,Nacho Vidal,2,D,,substitute
877947,Osasuna,4-4-2,Arrasate,47361,D. Brašanac,8,M,,substitute
877947,Osasuna,4-4-2,Arrasate,64309,Manu Sánchez,20,D,,substitute
877947,Osasuna,4-4-2,Arrasate,47396,Kike García,18,F,,substitute
877947,Osasuna,4-4-2,Arrasate,139001,Pablo Ibáñez,19,M,,substitute
877947,Osasuna,4-4-2,Arrasate,288800,Iker Benito,33,F,,substitute
877947,Osasuna,4-4-2,Arrasate,46660,Javi Martínez,21,M,,substitute
877947,Osasuna,4-4-2,Arrasate,46666,Roberto Torres,10,M,,substitute
877947,Osasuna,4-4-2,Arrasate,46649,Juan Pérez,13,G,,substitute
877947,Osasuna,4-4-2,Arrasate,182592,Jorge Herrando,31,D,,substitute
877947,Osasuna,4-4-2,Arrasate,47448,Aitor Fernández,25,G,,substitute
877947,Osasuna,4-4-2,Arrasate,46746,A. Budimir,17,F,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,2701,Y. Bounou,13,G,1:1,starter
877947,Sevilla,4-2-3-1,Lopetegui,2054,Navas,16,D,2:4,starter
877947,Sevilla,4-2-3-1,Lopetegui,1489,N. Gudelj,6,D,2:3,starter
877947,Sevilla,4-2-3-1,Lopetegui,25345,K. Rekik,4,D,2:2,starter
877947,Sevilla,4-2-3-1,Lopetegui,1493,M. Acuña,19,D,2:1,starter
877947,Sevilla,4-2-3-1,Lopetegui,452,Fernando,20,M,3:2,starter
877947,Sevilla,4-2-3-1,Lopetegui,15,T. Delaney,18,M,3:1,starter
877947,Sevilla,4-2-3-1,Lopetegui,389,J. Corona,9,M,4:3,starter
877947,Sevilla,4-2-3-1,Lopetegui,30433,A. Gómez,24,M,4:2,starter
877947,Sevilla,4-2-3-1,Lopetegui,1911,L. Ocampos,5,M,4:1,starter
877947,Sevilla,4-2-3-1,Lopetegui,47013,Rafa Mir,12,F,5:1,starter
877947,Sevilla,4-2-3-1,Lopetegui,176,E. Lamela,17,M,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,47422,Y. En-Nesyri,15,F,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,378,Alex Telles,3,D,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,149,I. Rakitić,10,M,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,192032,Iván Romero,36,F,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,2468,G. Montiel,2,D,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,195923,José Ángel Carmona,30,D,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,297311,Kike Salas,29,D,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,2813,M. Dmitrović,1,G,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,308346,Alberto Flores,31,G,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,47389,Joan Jordán,8,M,,substitute
877947,Sevilla,4-2-3-1,Lopetegui,385,Óliver Torres,21,M,,substitute
877945,Celta Vigo,4-1-3-2,E. Coudet,2464,A. Marchesín,1,G,1:1,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,47432,Hugo Mallo,2,D,2:4,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,1926,J. Aidoo,15,D,2:3,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,47277,Unai Núñez,4,D,2:2,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,47566,Javier Galán,17,D,2:1,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,47435,Fran Beltrán,8,M,3:1,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,5921,A. Solari,21,M,4:3,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,47416,Óscar Rodríguez,5,M,4:2,starter
877945,Celta Vigo,4-1-3-2,E. Coudet,570,F. Cervi,11,M,4:1,starter
