fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,substitute,offsides,shots_total,shots_on,goals_total,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved
877947,727,Osasuna,46646,Sergio Herrera,90.0,1,G,6.9,False,False,,,,,1,,2.0,26.0,,14,,,,1.0,1.0,,,,,,1,0,,,0,0,0.0
877947,727,Osasuna,47391,Rubén Peña,62.0,15,D,6.9,False,False,,,,,0,1.0,,13.0,1.0,9,,,,4.0,,,,,,1.0,0,0,,,0,0,
877947,727,Osasuna,46652,Unai García,79.0,4,D,6.6,False,False,,,,,0,,,31.0,,29,,1.0,,5.0,1.0,,,,,2.0,1,0,,,0,0,
877947,727,Osasuna,46653,David García,90.0,5,D,6.6,True,False,,,,,0,,,32.0,,24,2.0,1.0,2.0,10.0,4.0,,,,,3.0,1,0,,,0,0,
877947,727,Osasuna,46967,Juan Cruz,90.0,3,D,6.9,False,False,,,,,0,,,17.0,,14,1.0,1.0,,4.0,1.0,,,,,2.0,0,0,,,0,0,
877947,727,Osasuna,46667,Kike Barja,56.0,11,M,5.9,False,False,1.0,,,,0,,,10.0,1.0,7,1.0,,,9.0,1.0,3.0,,1.0,,2.0,0,0,,,0,0,
877947,727,Osasuna,46662,Jon Moncayola,90.0,7,M,7,False,False,,,,,0,,,31.0,,28,2.0,,,5.0,3.0,,,1.0,1.0,1.0,0,0,1.0,,0,0,
877947,727,Osasuna,1825,Lucas Torró,90.0,6,M,6.9,False,False,,1.0,1.0,,0,,,20.0,,16,2.0,,,8.0,4.0,,,,2.0,2.0,0,0,,,0,0,
877947,727,Osasuna,47574,Moi Gómez,90.0,16,M,7.3,False,False,,2.0,1.0,,0,,,24.0,4.0,21,,,2.0,5.0,,1.0,,,,1.0,1,0,,,0,0,
877947,727,Osasuna,47579,Chimy Ávila,81.0,9,F,7.2,False,False,4.0,3.0,1.0,1.0,0,,,6.0,,5,,,,9.0,6.0,3.0,2.0,1.0,4.0,,1,0,,,0,0,
877947,727,Osasuna,67939,Aimar Oroz,81.0,29,F,7.2,False,False,,1.0,1.0,1.0,0,,,22.0,1.0,22,1.0,,1.0,7.0,2.0,,,,1.0,1.0,0,0,,,1,0,
877947,727,Osasuna,47448,Aitor Fernández,,25,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,46649,Juan Pérez,,13,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,182592,Jorge Herrando,,31,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,139001,Pablo Ibáñez Lumbreras,9.0,19,M,6.7,False,True,,,,,0,,,4.0,1.0,2,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,46657,Nacho Vidal,34.0,2,D,6.5,False,True,,,,,0,,,9.0,,4,1.0,,,3.0,1.0,,,1.0,,1.0,0,0,,,0,0,
877947,727,Osasuna,64309,Manuel Sánchez,11.0,20,D,6.6,False,True,,,,,0,,,2.0,,2,1.0,,,3.0,2.0,1.0,,,,,0,0,,,0,0,
877947,727,Osasuna,47361,Darko Brašanac,28.0,8,M,6.3,False,True,,,,,0,,,5.0,,3,,,,4.0,2.0,1.0,,,1.0,,0,0,,,0,0,
877947,727,Osasuna,46660,Javi Martínez,,21,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,46666,Roberto Torres,,10,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,288800,Iker Benito,,33,F,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,727,Osasuna,47396,Kike García,9.0,18,F,6.9,False,True,,1.0,1.0,,0,,,3.0,,1,,,,4.0,3.0,1.0,1.0,,,,0,0,,,0,0,
877947,727,Osasuna,46746,Ante Budimir,,17,F,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,2701,Bono,90.0,13,G,6.3,False,False,,,,,2,,3.0,39.0,,32,,,,,,,,,,,0,0,,,0,0,0.0
877947,536,Sevilla,2054,Jesús Navas,90.0,16,D,6.2,True,False,,,,,0,,,54.0,1.0,47,,,,4.0,,,,2.0,,1.0,0,0,,,0,0,
877947,536,Sevilla,1489,Nemanja Gudelj,90.0,6,D,6.9,False,False,,,,,0,,,70.0,,68,1.0,1.0,,7.0,5.0,,,1.0,,1.0,0,0,,,0,0,
877947,536,Sevilla,25345,Karim Rekik,90.0,4,D,6.2,False,False,,,,,0,,,73.0,,70,,,,4.0,1.0,,,,,2.0,0,0,,,0,0,
877947,536,Sevilla,1493,Marcos Acuña,90.0,19,D,6.9,False,False,,1.0,,,0,,,66.0,1.0,50,3.0,,,12.0,8.0,1.0,,,2.0,,0,0,,,0,0,
877947,536,Sevilla,452,Fernando,90.0,20,M,7.3,False,False,,,,,0,,,51.0,1.0,46,1.0,,2.0,3.0,3.0,,,,1.0,,1,0,,,0,0,
877947,536,Sevilla,15,Thomas Delaney,80.0,18,M,7,False,False,,1.0,,,0,,,39.0,,36,2.0,1.0,1.0,6.0,3.0,,,,,1.0,0,0,,,0,0,
877947,536,Sevilla,389,Jesús Corona,63.0,9,M,6.3,False,False,,,,,0,,,17.0,1.0,15,1.0,,,8.0,4.0,1.0,,,3.0,1.0,0,0,,,0,0,
877947,536,Sevilla,30433,Papu Gómez,80.0,24,M,7.2,False,False,1.0,1.0,1.0,,0,1.0,,39.0,3.0,33,1.0,1.0,1.0,7.0,5.0,2.0,1.0,,2.0,1.0,1,0,,1.0,0,0,
877947,536,Sevilla,1911,Lucas Ocampos,80.0,5,M,7.2,False,False,,,,,0,,,30.0,,25,2.0,,1.0,9.0,9.0,2.0,2.0,,3.0,,0,0,,,0,0,
877947,536,Sevilla,47013,Rafa Mir,63.0,12,F,7.2,False,False,1.0,2.0,1.0,1.0,0,,,6.0,,4,,,,4.0,3.0,,,,2.0,,0,0,,,0,0,
877947,536,Sevilla,308346,Alberto Flores,,31,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,2813,Marko Dmitrović,,1,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,378,Alex Telles,10.0,3,D,6.7,False,True,,,,,0,,,4.0,,2,,,,1.0,1.0,1.0,1.0,,,,0,0,,,0,0,
877947,536,Sevilla,2468,Gonzalo Montiel,,2,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,195923,José Ángel Carmona,,30,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,297311,Kike Salas,,29,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,385,Óliver Torres,,21,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,176,Erik Lamela,27.0,17,M,6.3,False,True,,1.0,,,0,,,12.0,,10,,,1.0,3.0,1.0,1.0,,,,1.0,0,0,,,0,0,
877947,536,Sevilla,47389,Joan Jordán,,8,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
877947,536,Sevilla,149,Ivan Rakitić,10.0,10,M,6.7,False,True,,,,,0,,,11.0,,8,,,,4.0,3.0,,,,2.0,,0,0,,,0,0,
877947,536,Sevilla,192032,Iván Romero,10.0,36,F,6.3,False,True,,,,,0,,,3.0,,1,,,,4.0,2.0,,,,1.0,1.0,1,0,,,0,0,
877947,536,Sevilla,47422,Youssef En-Nesyri,27.0,15,F,6.7,False,True,,1.0,1.0,,0,,,4.0,,3,1.0,,,5.0,2.0,1.0,,,,,0,0,,,0,0,
877945,538,Celta Vigo,2464,Agustín Marchesín,90.0,1,G,6,False,False,,,,,2,,,35.0,,21,,,,1.0,1.0,,,,,,1,0,,,0,0,0.0
877945,538,Celta Vigo,47432,Hugo Mallo,90.0,2,D,6.9,True,False,,,,,0,,,46.0,,32,4.0,,1.0,14.0,10.0,,,,,2.0,1,0,,,0,0,
877945,538,Celta Vigo,1926,Joseph Aidoo,90.0,15,D,6.3,False,False,,,,,0,,,61.0,,52,,,,13.0,8.0,1.0,1.0,,1.0,2.0,1,0,,,0,0,
