fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
877947,727,Osasuna,5,3,12,4,4,8,16,5,5.0,34%,5.0,,2.0,255,201,79%,
877947,536,Sevilla,3,4,10,3,5,5,9,2,2.0,66%,3.0,,3.0,518,450,87%,
877945,538,Celta Vigo,3,3,8,2,3,5,17,3,1.0,60%,5.0,,0.0,539,443,82%,
877945,540,Espanyol,2,5,10,3,2,8,15,3,0.0,40%,2.0,,1.0,356,272,76%,
877950,720,Valladolid,6,5,12,1,7,5,6,4,2.0,52%,1.0,,1.0,434,362,83%,
877950,533,Villarreal,4,4,10,2,6,4,10,5,1.0,48%,0.0,,6.0,414,323,78%,
877943,529,Barcelona,6,9,21,6,15,6,16,8,4.0,68%,3.0,1.0,2.0,560,489,87%,
877943,728,Rayo Vallecano,2,2,4,0,3,1,14,0,4.0,32%,6.0,0.0,5.0,274,191,70%,
877946,724,Cadiz,2,3,7,2,4,3,9,3,4.0,40%,4.0,,6.0,291,216,74%,
877946,548,Real Sociedad,7,3,15,5,8,7,20,6,0.0,60%,2.0,,1.0,461,373,81%,
877951,532,Valencia,2,7,17,8,9,8,18,4,1.0,46%,2.0,1.0,1.0,352,285,81%,
877951,547,Girona,1,2,5,2,2,3,14,4,2.0,54%,3.0,0.0,2.0,397,331,83%,
877948,723,Almeria,6,3,10,1,7,3,11,2,3.0,32%,3.0,,13.0,315,257,82%,
877948,541,Real Madrid,15,4,29,10,18,11,4,15,3.0,68%,1.0,,5.0,649,593,91%,
877942,531,Athletic Club,6,10,23,7,13,10,13,7,1.0,64%,0.0,,2.0,471,388,82%,
877942,798,Mallorca,2,2,6,2,5,1,12,2,0.0,36%,6.0,,6.0,272,183,67%,
877949,546,Getafe,0,9,10,1,6,4,14,3,0.0,42%,2.0,,2.0,385,305,79%,
877949,530,Atletico Madrid,5,2,12,5,5,7,19,6,5.0,58%,1.0,,0.0,543,469,86%,
877944,543,Real Betis,8,5,17,4,12,5,10,8,5.0,72%,3.0,0.0,1.0,605,539,89%,
877944,797,Elche,2,1,4,1,4,0,18,4,3.0,28%,6.0,1.0,5.0,224,155,69%,
