fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1208494,531,Athletic Club,4,1,7,2,1,6,15,5,2.0,69%,4.0,,1.0,444,352,79%,0.33,0.0
1208494,546,Getafe,2,5,9,2,5,4,12,6,6.0,31%,1.0,,3.0,194,116,60%,0.84,0.0
1208495,543,Real Betis,4,10,19,5,10,9,11,4,1.0,39%,2.0,,1.0,370,305,82%,1.38,0.0
1208495,547,Girona,2,6,13,5,7,6,7,4,3.0,61%,0.0,,3.0,577,507,88%,1.58,0.0
1208501,538,Celta Vigo,4,2,6,0,3,3,8,3,4.0,64%,2.0,,1.0,551,471,85%,0.83,0.0
1208501,542,Alaves,2,5,10,3,8,2,23,3,3.0,36%,2.0,,2.0,299,218,73%,1.60,0.0
1208497,534,Las Palmas,5,6,15,4,10,5,14,6,1.0,48%,2.0,,4.0,430,345,80%,1.41,0.0
1208497,536,Sevilla,5,10,18,3,12,6,15,3,2.0,52%,2.0,,4.0,481,393,82%,1.85,0.0
1208502,727,Osasuna,6,5,16,5,13,3,14,6,1.0,61%,3.0,,3.0,456,347,76%,1.74,0.0
1208502,537,Leganes,4,2,10,4,6,4,12,4,2.0,39%,2.0,,6.0,303,193,64%,0.98,0.0
1208499,532,Valencia,2,3,6,1,4,2,11,3,7.0,36%,2.0,,4.0,315,243,77%,1.01,0.0
1208499,529,Barcelona,6,6,18,6,12,6,13,8,1.0,64%,3.0,,1.0,578,499,86%,3.22,0.0
1208500,548,Real Sociedad,4,5,11,2,7,4,14,10,0.0,66%,2.0,,2.0,445,359,81%,1.08,0.0
1208500,728,Rayo Vallecano,5,4,12,3,7,5,21,5,3.0,34%,4.0,,3.0,236,151,64%,1.11,0.0
1208496,798,Mallorca,5,6,12,1,8,4,11,8,,34%,1.0,0.0,5.0,322,267,83%,1.03,0.0
1208496,541,Real Madrid,5,5,13,3,6,7,6,7,,66%,0.0,1.0,4.0,667,598,90%,0.60,0.0
1212910,720,Valladolid,1,6,12,5,7,5,15,3,6.0,45%,2.0,,2.0,387,319,82%,0.80,0.0
1212910,540,Espanyol,2,5,10,3,5,5,8,2,1.0,55%,2.0,,0.0,479,390,81%,0.66,0.0
1208498,533,Villarreal,3,4,9,2,6,3,7,2,2.0,45%,1.0,,2.0,477,420,88%,0.79,-1.0
1208498,530,Atletico Madrid,4,4,9,1,7,2,12,3,2.0,55%,3.0,,2.0,592,519,88%,1.11,-1.0
1208504,538,Celta Vigo,5,2,7,0,4,3,9,4,2.0,49%,3.0,,3.0,486,418,86%,1.32,-1.0
1208504,532,Valencia,5,6,13,2,10,3,11,7,1.0,51%,0.0,,2.0,492,417,85%,0.93,-1.0
1208507,536,Sevilla,7,7,16,2,9,7,16,7,4.0,60%,3.0,,4.0,529,444,84%,1.09,0.0
1208507,533,Villarreal,6,2,8,0,7,1,8,2,4.0,40%,5.0,,6.0,354,263,74%,0.89,0.0
1208511,727,Osasuna,5,7,15,3,5,10,10,5,1.0,45%,2.0,,1.0,314,233,74%,0.54,0.0
1208511,798,Mallorca,1,4,10,5,6,4,8,4,0.0,55%,1.0,,4.0,379,306,81%,0.58,0.0
1208510,529,Barcelona,5,5,13,3,9,4,11,5,2.0,65%,4.0,,1.0,568,497,88%,1.83,0.0
1208510,531,Athletic Club,2,3,8,3,6,2,16,6,5.0,35%,5.0,,3.0,293,232,79%,1.03,0.0
1212911,540,Espanyol,4,5,13,4,11,2,14,7,1.0,34%,2.0,,2.0,259,192,74%,1.30,0.0
1212911,548,Real Sociedad,3,3,8,2,4,4,18,4,2.0,66%,2.0,,3.0,522,461,88%,0.63,0.0
1208505,546,Getafe,0,8,12,4,9,3,16,3,0.0,48%,1.0,,,284,173,61%,0.48,
1208505,728,Rayo Vallecano,0,2,3,1,1,2,18,2,4.0,52%,2.0,,,307,198,64%,0.24,
1208506,541,Real Madrid,9,3,17,5,13,4,10,5,4.0,64%,1.0,,0.0,648,594,92%,2.14,-1.0
1208506,720,Valladolid,0,5,8,3,6,2,15,5,0.0,36%,1.0,,6.0,359,293,82%,0.42,-1.0
1208509,537,Leganes,5,4,10,1,6,4,11,3,1.0,40%,1.0,,4.0,342,255,75%,1.48,0.0
