fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
94480,126,Sao Paulo,4,1.0,7,2.0,2.0,5.0,23.0,3.0,2.0,28%,0.0,0.0,2.0,271.0,205.0,76%
94480,120,Botafogo,2,2.0,11,7.0,2.0,9.0,7.0,2.0,1.0,72%,4.0,0.0,2.0,702.0,628.0,89%
94475,132,Chapecoense-SC,7,4.0,12,1.0,5.0,7.0,15.0,3.0,0.0,43%,1.0,0.0,7.0,395.0,304.0,77%
94475,119,Internacional,7,9.0,20,4.0,9.0,11.0,11.0,5.0,2.0,57%,1.0,0.0,5.0,509.0,410.0,81%
94472,1062,Atletico-MG,3,8.0,11,0.0,7.0,4.0,12.0,4.0,0.0,60%,0.0,0.0,0.0,548.0,474.0,86%
94472,145,Avai,1,4.0,6,1.0,2.0,4.0,18.0,4.0,1.0,40%,1.0,0.0,1.0,362.0,285.0,79%
94476,127,Flamengo,5,5.0,19,9.0,14.0,5.0,13.0,6.0,0.0,57%,4.0,0.0,0.0,516.0,441.0,85%
94476,135,Cruzeiro,1,0.0,2,1.0,1.0,1.0,17.0,2.0,1.0,43%,6.0,1.0,2.0,393.0,312.0,79%
94478,130,Gremio,11,8.0,25,6.0,12.0,13.0,12.0,12.0,2.0,64%,3.0,0.0,3.0,599.0,504.0,84%
94478,128,Santos,5,3.0,8,0.0,4.0,4.0,18.0,2.0,1.0,36%,4.0,1.0,10.0,337.0,234.0,69%
94473,118,Bahia,6,8.0,15,1.0,9.0,6.0,17.0,4.0,1.0,43%,1.0,0.0,1.0,353.0,265.0,75%
94473,131,Corinthians,3,3.0,9,3.0,5.0,4.0,5.0,4.0,0.0,57%,4.0,0.0,3.0,473.0,370.0,78%
94474,129,Ceara,8,5.0,16,3.0,10.0,6.0,15.0,3.0,2.0,54%,0.0,0.0,1.0,496.0,434.0,88%
94474,150,CSA,1,5.0,6,0.0,3.0,3.0,4.0,6.0,1.0,46%,0.0,1.0,3.0,415.0,340.0,82%
94471,134,Atletico Paranaense,10,6.0,20,4.0,11.0,9.0,15.0,4.0,2.0,57%,1.0,0.0,3.0,504.0,440.0,87%
94471,133,Vasco DA Gama,4,6.0,11,1.0,4.0,7.0,18.0,0.0,1.0,43%,1.0,0.0,7.0,378.0,324.0,86%
94479,121,Palmeiras,9,5.0,18,4.0,12.0,6.0,12.0,6.0,3.0,52%,1.0,0.0,5.0,379.0,300.0,79%
94479,154,Fortaleza EC,5,2.0,8,1.0,2.0,6.0,16.0,1.0,1.0,48%,2.0,0.0,6.0,349.0,279.0,80%
94477,124,Fluminense,3,8.0,15,4.0,11.0,4.0,14.0,5.0,1.0,71%,4.0,0.0,1.0,597.0,540.0,90%
94477,151,Goias,2,6.0,8,0.0,4.0,4.0,9.0,5.0,0.0,29%,1.0,0.0,3.0,235.0,166.0,71%
94488,119,Internacional,7,6.0,17,4.0,9.0,8.0,8.0,4.0,1.0,45%,3.0,0.0,4.0,427.0,352.0,82%
94488,127,Flamengo,5,1.0,11,5.0,6.0,5.0,10.0,5.0,3.0,55%,2.0,0.0,5.0,514.0,422.0,82%
94483,131,Corinthians,4,2.0,12,6.0,4.0,8.0,14.0,7.0,1.0,51%,2.0,0.0,1.0,427.0,349.0,82%
94483,132,Chapecoense-SC,1,5.0,10,4.0,3.0,7.0,10.0,2.0,1.0,49%,1.0,0.0,3.0,409.0,322.0,79%
94485,150,CSA,1,,1,,1.0,,,,0.0,0%,0.0,0.0,,0.0,0.0,0%
94485,121,Palmeiras,1,,1,,1.0,,,,0.0,100%,0.0,0.0,,1.0,1.0,100%
94484,135,Cruzeiro,4,4.0,12,4.0,8.0,4.0,10.0,2.0,1.0,58%,1.0,0.0,4.0,614.0,539.0,88%
94484,129,Ceara,4,4.0,14,6.0,7.0,7.0,12.0,3.0,2.0,42%,0.0,0.0,3.0,425.0,348.0,82%
94481,145,Avai,3,8.0,13,2.0,7.0,6.0,15.0,11.0,0.0,43%,4.0,0.0,1.0,373.0,273.0,73%
94481,130,Gremio,2,1.0,4,1.0,2.0,2.0,17.0,4.0,0.0,57%,3.0,0.0,3.0,500.0,403.0,81%
94490,133,Vasco DA Gama,4,11.0,21,6.0,10.0,11.0,12.0,8.0,0.0,50%,0.0,0.0,2.0,461.0,387.0,84%
94490,1062,Atletico-MG,4,2.0,14,8.0,5.0,9.0,9.0,4.0,1.0,50%,0.0,0.0,2.0,466.0,385.0,83%
94487,151,Goias,2,7.0,13,4.0,7.0,6.0,15.0,5.0,0.0,47%,3.0,0.0,3.0,380.0,315.0,83%
94487,126,Sao Paulo,5,7.0,14,2.0,8.0,6.0,12.0,10.0,1.0,53%,2.0,1.0,1.0,433.0,376.0,87%
94486,154,Fortaleza EC,5,8.0,18,5.0,7.0,11.0,12.0,2.0,1.0,36%,3.0,0.0,3.0,291.0,234.0,80%
94486,134,Atletico Paranaense,4,5.0,10,1.0,3.0,7.0,19.0,7.0,0.0,64%,3.0,0.0,3.0,507.0,454.0,90%
94489,128,Santos,10,11.0,22,1.0,16.0,6.0,25.0,6.0,1.0,42%,3.0,0.0,3.0,377.0,308.0,82%
94489,124,Fluminense,4,5.0,10,1.0,5.0,5.0,14.0,1.0,3.0,58%,2.0,0.0,8.0,517.0,441.0,85%
94482,120,Botafogo,5,3.0,9,1.0,6.0,3.0,11.0,3.0,0.0,52%,3.0,0.0,2.0,482.0,389.0,81%
94482,118,Bahia,4,8.0,19,7.0,13.0,6.0,15.0,6.0,4.0,48%,0.0,0.0,1.0,421.0,334.0,79%
94498,121,Palmeiras,5,5.0,13,3.0,9.0,4.0,15.0,4.0,0.0,34%,2.0,0.0,2.0,254.0,187.0,74%
94498,119,Internacional,2,5.0,10,3.0,4.0,6.0,18.0,5.0,0.0,66%,5.0,0.0,3.0,478.0,398.0,83%
94500,133,Vasco DA Gama,4,5.0,13,4.0,9.0,4.0,21.0,8.0,0.0,46%,2.0,0.0,1.0,342.0,280.0,82%
94500,131,Corinthians,2,7.0,11,2.0,6.0,5.0,8.0,2.0,0.0,54%,1.0,0.0,3.0,412.0,350.0,85%
94493,129,Ceara,3,3.0,9,3.0,5.0,4.0,12.0,6.0,1.0,46%,0.0,0.0,4.0,442.0,372.0,84%
