id_partida,id_league,referee,date,Stadium,Home_Team,home.id,Away_Team,away.id,home.winner,Gols_Home,Gols_Away,Half_Time_Gols_Home,Half_Time_Gols_Away,Empate
688918,71,Denis Ribeiro Serafim,2021-05-29T22:00:00+00:00,Arena Pantanal,Cuiaba,1193,Juventude,152,False,2,2,1,2,1
688915,71,Bruno Arleu de Araujo,2021-05-29T23:00:00+00:00,Estádio Governador Roberto Santos,Bahia,118,Santos,128,True,3,0,0,0,0
688911,71,Rodolpho Toski Marques,2021-05-30T00:00:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,Fluminense,124,False,0,0,0,0,1
688912,71,Caio Max Augusto Vieira,2021-05-30T14:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Fortaleza EC,154,False,1,2,1,0,0
688909,71,Anderson Daronco,2021-05-30T19:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Palmeiras,121,True,1,0,0,0,0
688914,71,Savio Pereira,2021-05-30T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Gremio,130,True,3,2,2,1,0
688910,71,Felipe Fernandes de Lima,2021-05-30T21:15:00+00:00,Neo Química Arena,Corinthians,131,Atletico Goianiense,144,False,0,1,0,1,0
688917,71,Marielson Alves Silva,2021-05-30T21:15:00+00:00,Arena Condá,Chapecoense-sc,132,RB Bragantino,794,False,0,3,0,2,0
688916,71,Jefferson Ferreira de Moraes,2021-05-30T21:15:00+00:00,Arena da Baixada,Atletico Paranaense,134,America Mineiro,125,True,1,0,0,0,0
688913,71,Vinicius Gonçalves Dias Araujo,2021-05-30T23:30:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Sport Recife,123,False,2,2,2,0,1
688928,71,Diego Pombo Lopez,2021-06-05T22:00:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Sao Paulo,126,True,2,0,1,0,0
688921,71,Jean Pierre Goncalves Lima,2021-06-06T00:00:00+00:00,Estádio Urbano Caldeira,Santos,128,Ceara,129,True,3,1,1,1,0
688926,71,Vinicius Gomes,2021-06-06T00:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Bahia,118,False,3,3,1,2,1
688919,71,Edina Alves Batista,2021-06-06T14:00:00+00:00,Estádio Club de Regatas Vasco da Gama,Fluminense,124,Cuiaba,1193,True,1,0,1,0,0
688922,71,Marcelo de Lima Henrique,2021-06-06T19:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Corinthians,131,False,0,1,0,1,0
688924,71,Paulo Roberto Alves Júnior,2021-06-06T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Internacional,119,True,5,1,2,0,0
688920,71,Leo Simão,2021-06-06T21:15:00+00:00,Allianz Parque,Palmeiras,121,Chapecoense-sc,132,True,3,1,3,0,0
688927,71,Paulo Cesar Zanovelli,2021-06-06T21:15:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Atletico Paranaense,134,False,0,3,0,0,0
688925,71,Raphael Claus,2021-06-06T23:30:00+00:00,Estádio Adelmar da Costa Carvalho,Sport Recife,123,Atletico-MG,1062,False,0,1,0,1,0
688930,71,Flavio Rodrigues De Souza,2021-06-12T22:00:00+00:00,Allianz Parque,Palmeiras,121,Corinthians,131,False,1,1,1,0,1
