,fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
0,1180355,119,Internacional,9,6,17,2,13,4,21,6,3.0,53%,5.0,0.0,3,513,440,86%,1.89,0.0
1,1180355,118,Bahia,4,3,9,2,6,3,13,3,2.0,47%,3.0,0.0,7,467,386,83%,0.7,0.0
2,1180364,140,Criciuma,3,4,10,3,5,5,11,0,3.0,47%,4.0,0.0,3,423,340,80%,0.71,0.0
3,1180364,152,Juventude,4,7,15,4,4,11,15,4,4.0,53%,6.0,0.0,2,464,378,81%,0.57,0.0
4,1180358,124,Fluminense,11,10,26,5,13,13,8,13,0.0,69%,3.0,0.0,6,520,452,87%,1.76,0.0
5,1180358,794,RB Bragantino,8,7,16,1,10,6,19,6,0.0,31%,4.0,0.0,9,228,157,69%,1.16,0.0
6,1180361,126,Sao Paulo,5,5,14,4,8,6,10,11,2.0,72%,2.0,0.0,0,691,606,88%,0.53,0.0
7,1180361,154,Fortaleza EC,2,3,6,1,4,2,14,4,1.0,28%,3.0,0.0,4,272,184,68%,0.36,0.0
8,1180360,131,Corinthians,2,7,14,5,6,8,16,3,0.0,48%,8.0,0.0,3,347,277,80%,0.46,0.0
9,1180360,1062,Atletico-MG,3,2,8,3,2,6,14,3,2.0,52%,6.0,1.0,2,400,320,80%,0.32,0.0
10,1180359,133,Vasco DA Gama,3,7,15,5,11,4,19,3,1.0,47%,4.0,0.0,1,446,382,86%,0.9,0.0
11,1180359,130,Gremio,2,5,9,2,7,2,10,5,1.0,53%,1.0,0.0,1,504,440,87%,1.24,0.0
12,1180362,134,Atletico Paranaense,9,6,20,5,15,5,16,7,2.0,62%,0.0,0.0,0,582,512,88%,1.96,0.0
13,1180362,1193,Cuiaba,0,1,1,0,1,0,9,0,1.0,38%,3.0,0.0,5,367,309,84%,0.31,0.0
14,1180363,144,Atletico Goianiense,4,5,11,2,9,2,12,4,2.0,32%,5.0,2.0,0,208,150,72%,1.62,0.0
15,1180363,127,Flamengo,2,8,15,5,8,7,12,4,1.0,68%,3.0,0.0,3,471,405,86%,1.21,0.0
16,1180356,135,Cruzeiro,5,4,15,6,9,6,12,6,2.0,56%,4.0,0.0,1,399,334,84%,1.65,0.0
17,1180356,120,Botafogo,3,3,6,0,4,2,11,3,0.0,44%,3.0,1.0,2,319,252,79%,2.03,0.0
18,1180357,136,Vitoria,5,4,13,4,8,5,12,3,2.0,56%,3.0,0.0,3,403,339,84%,1.39,2.0
19,1180357,121,Palmeiras,4,7,15,4,7,8,15,9,3.0,44%,5.0,0.0,5,307,241,79%,0.86,2.0
20,1180367,118,Bahia,5,5,12,2,7,5,15,4,3.0,40%,4.0,0.0,2,353,279,79%,1.08,0.0
21,1180367,124,Fluminense,3,3,9,3,6,3,23,3,2.0,60%,5.0,0.0,3,536,466,87%,0.37,0.0
22,1180365,130,Gremio,7,4,14,3,8,6,7,9,0.0,48%,1.0,0.0,0,434,350,81%,1.13,0.0
23,1180365,134,Atletico Paranaense,0,3,4,1,2,2,13,2,1.0,52%,3.0,0.0,5,466,373,80%,0.17,0.0
24,1180371,794,RB Bragantino,5,9,17,3,10,7,14,4,0.0,40%,2.0,0.0,2,324,238,73%,0.95,0.0
25,1180371,133,Vasco DA Gama,3,8,13,2,10,3,15,6,3.0,60%,1.0,0.0,3,462,386,84%,1.19,0.0
26,1180370,121,Palmeiras,3,11,18,4,12,6,17,6,4.0,64%,2.0,0.0,1,474,391,82%,1.45,0.0
27,1180370,119,Internacional,2,3,5,0,4,1,21,2,1.0,36%,4.0,0.0,3,288,199,69%,1.12,0.0
28,1180374,152,Juventude,8,4,16,4,8,8,16,6,1.0,45%,3.0,1.0,2,391,314,80%,1.63,0.0
29,1180374,131,Corinthians,2,11,17,4,11,6,10,7,2.0,55%,1.0,0.0,6,473,383,81%,1.16,0.0
30,1180372,154,Fortaleza EC,3,6,14,5,9,5,13,7,0.0,39%,2.0,0.0,4,296,229,77%,0.64,0.0
31,1180372,135,Cruzeiro,6,6,14,2,7,7,10,5,2.0,61%,3.0,1.0,2,476,408,86%,0.82,0.0
32,1180366,1062,Atletico-MG,6,8,22,8,8,14,12,9,2.0,68%,2.0,0.0,0,712,640,90%,1.04,0.0
33,1180366,140,Criciuma,1,4,5,0,4,1,10,2,0.0,32%,4.0,0.0,5,333,277,83%,0.34,0.0
34,1180368,127,Flamengo,6,4,12,2,9,3,19,9,1.0,47%,1.0,0.0,2,404,324,80%,1.3,0.0
35,1180368,126,Sao Paulo,3,3,10,4,5,5,19,1,2.0,53%,3.0,0.0,4,463,394,85%,0.69,0.0
36,1180369,120,Botafogo,4,6,13,3,7,6,13,8,1.0,53%,3.0,0.0,3,466,387,83%,0.66,0.0
37,1180369,144,Atletico Goianiense,3,4,12,5,7,5,11,8,2.0,47%,4.0,0.0,3,401,326,81%,0.89,0.0
38,1180378,124,Fluminense,8,2,11,1,8,3,16,2,1.0,58%,4.0,0.0,4,546,479,88%,1.31,1.0
39,1180378,133,Vasco DA Gama,5,8,21,8,15,6,17,7,4.0,42%,5.0,0.0,6,384,308,80%,1.91,1.0
40,1180375,130,Gremio,4,3,7,0,4,3,10,3,0.0,57%,4.0,0.0,3,543,473,87%,0.63,0.0
41,1180375,1193,Cuiaba,3,8,14,3,10,4,5,4,0.0,43%,2.0,0.0,3,400,323,81%,1.39,0.0
42,1180381,794,RB Bragantino,3,5,10,2,5,5,21,3,0.0,35%,4.0,0.0,4,275,167,61%,0.45,0.0
43,1180381,131,Corinthians,4,8,15,3,10,5,10,4,4.0,65%,2.0,0.0,2,494,397,80%,1.2,0.0
44,1180376,1062,Atletico-MG,4,3,9,2,5,4,15,4,1.0,56%,2.0,0.0,2,561,495,88%,1.13,-1.0
45,1180376,135,Cruzeiro,3,1,10,6,5,5,17,4,2.0,44%,2.0,0.0,1,439,379,86%,0.85,-1.0
46,1180380,121,Palmeiras,1,8,12,3,4,8,23,6,3.0,49%,5.0,0.0,3,337,258,77%,0.4,0.0
47,1180380,127,Flamengo,3,3,8,2,4,4,14,5,0.0,51%,4.0,0.0,1,360,279,78%,0.24,0.0
48,1180382,134,Atletico Paranaense,0,4,5,1,3,2,6,1,0.0,46%,1.0,0.0,1,159,128,81%,0.38,0.0
49,1180382,119,Internacional,1,4,7,2,5,2,6,1,0.0,54%,4.0,0.0,0,194,157,81%,0.27,0.0
50,1180377,136,Vitoria,8,4,13,1,7,6,12,2,6.0,42%,3.0,0.0,5,375,308,82%,1.69,0.0
51,1180377,118,Bahia,7,6,20,7,10,10,13,7,2.0,58%,3.0,0.0,6,520,455,88%,2.54,0.0
52,1180379,120,Botafogo,6,5,13,2,11,2,22,5,1.0,56%,3.0,0.0,0,490,440,90%,2.96,-1.0
53,1180379,152,Juventude,1,5,12,6,5,7,10,4,1.0,44%,4.0,1.0,1,385,332,86%,0.33,-1.0
54,1180383,144,Atletico Goianiense,1,4,9,4,2,7,13,4,0.0,35%,5.0,2.0,4,321,253,79%,0.24,0.0
55,1180383,126,Sao Paulo,7,4,19,8,12,7,9,3,2.0,65%,0.0,0.0,1,632,561,89%,1.66,0.0
56,1180389,133,Vasco DA Gama,5,8,21,8,14,7,13,5,0.0,58%,1.0,0.0,6,518,456,88%,2.02,1.0
57,1180389,140,Criciuma,10,5,17,2,9,8,7,4,2.0,42%,0.0,0.0,5,392,336,86%,1.95,1.0
