team_name,if_home_team,fixture_id,year,avg_minutes_team,avg_rating_team,avg_offsides_team,avg_shots_total_team,avg_shots_on_team,avg_goals_total_team,avg_goals_conceded_team,avg_assists_team,avg_saves_team,avg_passes_total_team,avg_passes_key_team,avg_passes_accuracy_team,avg_tackles_total_team,avg_tackles_blocks_team,avg_tackles_interceptions_team,avg_duels_total_team,avg_duels_won_team,avg_dribbles_attempts_team,avg_dribbles_success_team,avg_dribbles_past_team,avg_fouls_drawn_team,avg_fouls_committed_team,avg_cards_yellow_team,avg_cards_red_team,avg_penalty_won_team,avg_penalty_committed_team
Vasco DA Gama,0,35175,2017,45.0,6.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,93.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Botafogo,1,35177,2017,79.8181818181818,7.03636363636364,0.0,9.0,1.0,0.0,0.0,0.0,2.0,210.0,4.0,803.0,0.0,0.0,12.0,83.0,46.0,7.0,6.0,7.0,17.0,10.0,2.0,0.0,0.0,0.0
Corinthians,0,35177,2017,79.7272727272727,6.75454545454545,0.0,17.0,6.0,0.0,1.0,0.0,1.0,400.0,10.0,865.0,0.0,0.0,5.0,83.0,42.0,9.0,5.0,5.0,18.0,10.0,1.0,0.0,0.0,0.0
Chapecoense-sc,1,35178,2017,85.5454545454545,6.99090909090909,0.0,5.0,2.0,0.0,0.0,0.0,4.0,283.0,3.0,853.0,0.0,0.0,9.0,75.0,37.0,5.0,4.0,2.0,2.0,20.0,4.0,0.0,0.0,0.0
Fluminense,0,35178,2017,84.375,6.8875,0.0,6.0,3.0,1.0,1.0,1.0,0.0,346.0,4.0,668.0,0.0,0.0,12.0,80.0,36.0,5.0,1.0,6.0,9.0,14.0,1.0,0.0,0.0,0.0
Ponte Preta,1,35179,2017,83.9,7.22,0.0,6.0,2.0,1.0,0.0,1.0,7.0,163.0,5.0,738.0,0.0,0.0,12.0,79.0,35.0,5.0,2.0,5.0,9.0,16.0,3.0,0.0,0.0,0.0
Atletico Paranaense,1,35180,2017,85.2,7.15,0.0,13.0,4.0,0.0,0.0,0.0,0.0,457.0,6.0,859.0,0.0,0.0,9.0,62.0,36.0,3.0,2.0,4.0,16.0,3.0,1.0,0.0,0.0,0.0
Bahia,1,35181,2017,73.2727272727273,6.81818181818182,0.0,3.0,1.0,1.0,1.0,1.0,4.0,153.0,2.0,803.0,0.0,0.0,6.0,100.0,54.0,15.0,6.0,2.0,14.0,14.0,2.0,1.0,0.0,0.0
Atletico-MG,0,35182,2017,80.9090909090909,7.03636363636364,0.0,12.0,2.0,0.0,0.0,0.0,1.0,351.0,9.0,913.0,0.0,0.0,11.0,95.0,44.0,17.0,8.0,7.0,14.0,17.0,0.0,0.0,0.0,0.0
Santos,1,35184,2017,85.2222222222222,6.63333333333333,0.0,7.0,2.0,1.0,2.0,0.0,3.0,315.0,3.0,792.0,0.0,0.0,9.0,76.0,31.0,9.0,5.0,7.0,6.0,19.0,4.0,0.0,0.0,0.0
Flamengo,0,35185,2017,85.1111111111111,6.92222222222222,0.0,8.0,2.0,0.0,0.0,0.0,0.0,272.0,9.0,711.0,0.0,0.0,7.0,81.0,40.0,6.0,1.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0
Sao Paulo,1,35185,2017,89.5454545454545,7.21818181818182,0.0,14.0,5.0,2.0,1.0,2.0,1.0,335.0,11.0,960.0,0.0,0.0,17.0,115.0,67.0,11.0,8.0,11.0,29.0,12.0,1.0,0.0,0.0,0.0
Vasco DA Gama,1,35186,2017,81.7272727272727,6.88181818181818,0.0,10.0,0.0,0.0,0.0,0.0,4.0,231.0,5.0,828.0,0.0,0.0,15.0,97.0,41.0,8.0,4.0,2.0,14.0,11.0,1.0,0.0,0.0,0.0
Bahia,0,35187,2017,76.5416666666667,6.91666666666667,0.0,7.5,4.5,2.0,1.0,1.5,2.5,245.0,7.0,881.5,0.0,0.0,12.0,126.5,68.0,15.5,9.0,6.0,18.5,13.0,2.5,0.0,0.0,0.0
Flamengo,1,35187,2017,80.6666666666667,6.88333333333333,0.0,11.0,2.5,0.0,1.0,0.0,0.5,428.0,8.0,965.5,0.0,0.0,17.5,99.5,55.0,12.0,6.0,4.5,13.0,12.5,2.0,0.0,0.0,0.0
Santos,0,35188,2017,73.8181818181818,6.94545454545455,0.0,9.5,3.5,0.5,1.0,0.5,2.5,357.5,10.0,946.5,0.0,0.0,10.5,79.0,37.0,8.5,5.0,5.5,11.0,18.0,2.5,0.0,0.0,0.0
