fixture_id,team_name,year,avg_Gols,avg_Total_Gols,avg_passes_%,avg_shots_on_goal,avg_shots_off_goal,avg_total_shots,avg_blocked_shots,avg_shots_insidebox,avg_shots_outsidebox,avg_fouls,avg_corner_kicks,avg_offsides,avg_ball_possession,avg_goalkeeper_saves,avg_total_passes,avg_passes_accurate
35097,Atletico Goianiense,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35097,Fluminense,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35098,Atletico Paranaense,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35098,Palmeiras,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35099,Atletico-MG,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35099,Gremio,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35100,Botafogo,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35100,Cruzeiro,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35101,Chapecoense-sc,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35101,Coritiba,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35102,Avai,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35102,Santos,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35103,Bahia,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35103,Sao Paulo,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35104,Corinthians,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35104,Sport Recife,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35105,Ponte Preta,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35105,Vasco DA Gama,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35106,Flamengo,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35106,Vitoria,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35107,Botafogo,2017,2.0,4.0,79.0,6.0,6.0,13.0,1.0,10.0,3.0,13.0,4.0,3.0,44.0,0.0,348.0,275.0
35107,Palmeiras,2017,0.0,3.0,92.0,1.0,12.0,17.0,4.0,6.0,11.0,14.0,5.0,1.0,65.0,3.0,613.0,563.0
35108,Bahia,2017,1.0,2.0,74.0,3.0,4.0,10.0,3.0,6.0,4.0,29.0,0.0,2.0,40.0,2.0,299.0,222.0
35108,Chapecoense-sc,2017,2.0,3.0,78.0,8.0,5.0,15.0,2.0,6.0,9.0,18.0,12.0,0.0,47.0,3.0,313.0,243.0
35109,Flamengo,2017,2.0,3.0,84.0,3.0,5.0,12.0,4.0,5.0,7.0,13.0,2.0,2.0,56.0,3.0,472.0,397.0
35109,Santos,2017,1.0,2.0,90.0,5.0,12.0,20.0,3.0,11.0,9.0,17.0,3.0,3.0,56.0,3.0,576.0,518.0
35110,Atletico Paranaense,2017,3.0,3.0,82.0,6.0,0.0,10.0,4.0,8.0,2.0,16.0,6.0,2.0,35.0,1.0,332.0,272.0
35110,Avai,2017,1.0,2.0,84.0,4.0,5.0,14.0,5.0,3.0,11.0,11.0,7.0,0.0,44.0,4.0,426.0,356.0
35111,Atletico-MG,2017,4.0,7.0,83.0,8.0,11.0,22.0,3.0,13.0,9.0,17.0,7.0,4.0,63.0,2.0,492.0,408.0
35111,Corinthians,2017,0.0,1.0,81.0,4.0,4.0,9.0,1.0,6.0,3.0,18.0,0.0,1.0,53.0,3.0,504.0,408.0
35112,Coritiba,2017,1.0,3.0,80.0,4.0,4.0,13.0,5.0,6.0,7.0,11.0,6.0,4.0,53.0,6.0,350.0,279.0
35112,Sao Paulo,2017,1.0,2.0,83.0,3.0,4.0,13.0,6.0,5.0,8.0,20.0,8.0,1.0,60.0,2.0,450.0,375.0
35113,Cruzeiro,2017,2.0,4.0,80.0,2.0,5.0,8.0,1.0,4.0,4.0,28.0,5.0,1.0,56.0,4.0,439.0,352.0
35113,Vasco DA Gama,2017,2.0,3.0,75.0,8.0,3.0,14.0,3.0,8.0,6.0,18.0,5.0,2.0,50.0,0.0,339.0,254.0
